custid,low_volume_percent,middle_volume_percent,take_amount_in_later_12_month_highest,trans_amount_increase_rate_lately,trans_activity_month,trans_activity_day,transd_mcc,trans_days_interval_filter,trans_days_interval,regional_mobility,student_feature,repayment_capability,is_high_user,number_of_trans_from_2011,first_transaction_time,historical_trans_amount,historical_trans_day,rank_trad_1_month,trans_amount_3_month,avg_consume_less_12_valid_month,abs,top_trans_count_last_1_month,avg_price_last_12_month,avg_price_top_last_12_valid_month,reg_preference_for_trad,trans_top_time_last_1_month,trans_top_time_last_6_month,consume_top_time_last_1_month,consume_top_time_last_6_month,cross_consume_count_last_1_month,trans_fail_top_count_enum_last_1_month,trans_fail_top_count_enum_last_6_month,trans_fail_top_count_enum_last_12_month,consume_mini_time_last_1_month,max_cumulative_consume_later_1_month,max_consume_count_later_6_month,railway_consume_count_last_12_month,pawns_auctions_trusts_consume_last_1_month,pawns_auctions_trusts_consume_last_6_month,jewelry_consume_count_last_6_month,first_transaction_day,trans_day_last_12_month,apply_score,apply_credibility,query_org_count,query_finance_count,query_cash_count,query_sum_count,latest_query_time,latest_one_month_apply,latest_three_month_apply,latest_six_month_apply,loans_score,loans_credibility_behavior,loans_count,loans_settle_count,loans_overdue_count,loans_org_count_behavior,consfin_org_count_behavior,loans_cash_count,latest_one_month_loan,latest_three_month_loan,latest_six_month_loan,history_suc_fee,history_fail_fee,latest_one_month_suc,latest_one_month_fail,loans_long_time,loans_latest_time,loans_credit_limit,loans_credibility_limit,loans_org_count_current,loans_product_count,loans_max_limit,loans_avg_limit,consfin_credit_limit,consfin_credibility,consfin_org_count_current,consfin_product_count,consfin_max_limit,consfin_avg_limit,latest_query_day,loans_latest_day,status
2791858,0.01,0.99,0,0.9,0.55,0.313,17,27,26,3,0,19890,0,30,20130817,149050,151,0.4,34030,7,3920,0.15,1020,0.55,1,4,19,4,19,1,1,2,2,5,2170,6,0,1970,18040,0,1738,85,583,79,8,2,6,10,20180425,2,5,8,552,73,37,34,2,10,1,9,1,1,13,37,7,1,0,341,43209,2200,72,9,10,2900,1688,1200,75,1,2,1200,1200,12,18,1
534047,0.02,0.94,2000,1.28,1,0.458,19,30,14,4,1,16970,0,23,20160402,302910,224,0.35,10590,5,6950,0.05,1210,0.5,1,13,30,13,30,0,0,3,3,330,2100,9,0,1820,15680,0,779,84,653,73,7,4,2,8,43223,2,6,8,635,76,37,36,0,17,5,12,2,2,8,49,4,2,1,353,43225,2000,74,12,12,3500,1758,15100,80,5,6,22800,9360,4,2,0
2849787,0.04,0.96,0,1,1,0.114,13,68,22,1,0,9710,0,9,20170617,11520,31,1,5710,5,840,0.65,570,0.65,1,0,68,0,68,0,3,6,6,0,0,3,0,0,0,0,338,95,654,76,11,5,5,16,43225,5,5,14,633,83,4,2,0,3,1,2,2,2,4,2,2,1,1,157,43221,1500,77,2,2,1600,1250,4200,87,1,1,4200,4200,2,6,1
1809708,0,0.96,2000,0.13,0.57,0.777,22,14,6,3,0,6210,0,33,20130516,491130,360,0.15,91690,7,46850,0.05,1290,0.45,3,6,8,6,8,0,1,8,8,31700,8140,9,0,2700,27970,0,1831,82,595,79,12,7,4,22,43225,3,16,17,542,75,85,81,4,22,5,17,2,4,34,91,26,2,0,355,43223,1800,74,17,18,3200,1541,16300,80,5,5,30000,12180,2,4,0
2499829,0.01,0.99,0,0.46,1,0.175,13,66,42,1,0,11150,0,12,20170312,61470,63,0.65,9770,6,760,1,1110,0.5,1,0,66,0,66,0,3,3,3,0,1000,3,0,0,6410,0,435,88,541,75,11,3,4,14,43205,6,8,9,479,73,37,32,6,12,2,10,0,0,10,36,25,0,0,360,43107,1800,72,10,10,2300,1630,8300,79,2,2,8400,8250,22,120,1
518072,0.02,0.98,2000,7.59,1,0.733,27,8,11,3,1,8420,0,18,20160920,416670,317,0.2,78890,6,22770,0.05,1160,0.5,3,4,7,4,12,1,0,3,3,344024,2560,9,0,0,31400,0,608,82,682,79,14,5,5,19,43224,4,8,13,676,75,60,55,0,22,10,12,1,1,25,78,12,4,0,360,43223,2600,72,12,13,5300,1941,11200,80,10,12,20400,8130,3,4,0
1205125,0.02,0.98,0,23.67,0.94,0.087,10,54,53,2,0,11220,0,15,20161112,34140,50,1,3080,6,110,1,1250,0.5,1,0,54,0,54,0,0,1,1,0,0,1,0,0,4390,0,555,98,626,77,10,4,4,13,43226,4,5,7,612,75,7,4,0,3,2,1,2,3,3,9,6,1,2,312,43224,2200,76,1,1,2200,2200,7600,73,2,2,16800,8900,1,3,0
1129897,0.02,0.98,0,0.25,0.88,0.302,19,20,20,2,0,8220,0,30,20150512,144600,198,0.4,13930,8,880,0.1,920,0.55,1,6,20,6,20,0,1,1,4,1194017,1540,12,0,470,9690,0,1105,93,543,77,7,5,2,10,43204,0,3,6,494,76,19,18,0,7,3,3,0,0,4,34,0,0,0,360,43223,2100,74,3,3,2300,0,0,78,3,3,20400,0,23,4,0
2599411,0.03,0.65,0,0.31,0.76,0.472,15,21,14,2,0,69800,0,28,20150218,172290,253,0.35,21760,8,99950,0.05,860,0.6,3,10,10,10,10,2,0,1,1,77,1750,4,0,0,6750,0,1188,83,491,80,9,3,4,13,43203,2,8,10,451,78,24,11,11,10,8,2,3,10,16,22,53,0,21,316,43220,4700,77,2,2,5300,4750,5500,79,8,11,19200,7987,24,7,0
1413051,0.01,0.99,500,0.8,1,0.088,15,36,35,2,1,12510,0,14,20170105,37250,44,0.75,6640,7,110,1,1110,0.5,1,0,36,0,36,0,0,2,5,0,500,3,0,0,6160,0,501,95,619,79,7,3,2,8,43206,3,7,7,589,74,13,12,0,5,0,5,0,0,6,13,3,0,0,312,43082,1900,74,5,5,2800,1520,0,0,0,0,0,0,18,142,1
