ID,Y,X01,X02,X03,X04,X05,X06,X07,X08,X09,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20
NO0001,0,203,18,7,11,188,6368,199,1393,237,1,0,21,72,188,0,4,215,0.0139,229,77
NO0002,0,0,4,1,0,19,149,53,144,20,0,0,42,19,245,0,9,261,0.0186,26,26
NO0003,0,0,0,0,0,12,25,15,24,12,0,0,36,51,263,1,18,140,0.0328,807,493
NO0004,0,2,0,0,0,16,123,11,24,18,0,0,26,25,381,1,83,346,0.0388,160,55
NO0005,0,24,89,7,1,106,3915,106,672,122,1,0,25,59,1374,6,0,1399,0,1846,624
NO0006,0,0,0,0,0,9,31,7,16,9,0,0,25,44,88,1,0,25,0,103,62
NO0007,1,6,0,0,0,38,81,49,76,38,0,0,28,41,256,0,32,269,0.0372,735,345
NO0008,0,70,0,0,0,105,564,109,536,146,1,0,23,51,755,1,59,833,0.0144,90,90
NO0009,0,7,1,1,0,20,190,58,135,24,13,0,37,40,278,2,0,111,0,274,34
NO0010,0,27,5,2,1,57,1272,97,379,60,11,1,36,31,295,0,40,270,0.0609,678,180
NO0011,0,63,17,3,0,88,3348,42,298,111,0,0,32,22,1156,0,19,26,0.0088,97,97
NO0012,0,53,59,22,3,110,1449,169,395,138,0,0,30,29,184,1,27,75,0.0398,297,232
NO0013,0,123,16,7,2,171,2600,152,646,214,2,0,24,53,168,1,0,177,0,108,86
NO0014,0,52,25,10,2,115,342,142,326,147,0,0,20,43,377,5,0,393,0,86,81
NO0015,0,73,24,4,1,208,3232,91,730,220,0,2,36,116,434,0,0,201,0,1134,323
NO0016,0,22,32,2,2,86,3128,63,647,89,0,1,29,62,384,0,0,391,0,728,126
NO0017,0,2,0,0,0,36,403,18,81,37,0,0,30,34,660,2,39,690,0.0225,331,96
NO0018,0,49,18,7,2,132,563,77,480,151,1,0,26,30,217,0,7,134,0.0089,11,11
NO0019,0,4,2,1,0,21,47,18,42,24,0,0,24,58,66,3,0,30,0,163,163
NO0020,0,2,0,0,0,12,43,13,24,13,0,0,30,101,916,1,2,663,0.0021,286,251
NO0021,0,15,1,1,0,63,2349,296,1161,66,0,0,29,30,495,1,20,199,0.0257,83,70
NO0022,0,39,11,3,0,126,2043,111,456,136,4,0,25,46,373,1,0,132,0,464,449
NO0023,0,0,0,0,0,6,13,9,9,6,0,0,31,49,350,3,0,86,0,75,67
NO0024,0,112,1,1,3,178,631,121,546,212,5,2,34,119,1246,0,0,1310,0,670,583
NO0025,0,5,0,0,0,12,331,74,237,13,3,0,37,91,378,0,0,389,0,274,66
NO0026,0,27,2,1,2,39,184,184,184,49,1,0,28,29,665,3,6,658,0.0044,107,32
NO0027,0,79,17,7,3,122,1264,273,1163,141,2,1,34,51,313,0,13,20,0.0179,210,149
NO0028,0,82,21,7,0,125,1724,65,580,132,1,0,23,28,246,2,0,265,0,474,175
NO0029,0,26,3,2,2,86,298,91,275,106,1,0,29,38,1937,1,0,1965,0,15,15
NO0030,0,85,10,6,1,77,1482,80,423,105,0,0,38,118,328,1,52,44,0.0494,253,3
NO0031,0,152,12,5,6,133,1352,151,567,171,0,0,43,96,393,0,36,42,0.018,2084,267
NO0032,0,41,7,5,2,105,351,92,345,122,3,0,37,27,233,0,0,245,0,20,20
NO0033,0,43,18,8,6,108,599,109,597,135,1,0,31,41,114,2,0,107,0,454,366
NO0034,0,130,46,6,15,137,2004,379,908,174,2,0,28,90,76,0,4,80,0.0247,233,170
NO0035,0,89,8,4,2,182,635,108,559,231,2,0,46,43,87,0,0,103,0,75,75
NO0036,0,114,2,2,0,227,2089,136,951,301,6,0,32,24,1168,0,39,68,0.0168,67,67
NO0037,0,13,0,0,2,49,239,48,210,57,4,1,32,43,101,0,56,57,0.062,51,44
NO0038,0,6,0,0,1,16,297,18,122,19,0,0,40,41,310,0,0,206,0,305,171
NO0039,0,94,11,4,4,242,896,197,765,303,2,2,31,67,1044,0,59,1049,0.0121,259,142
NO0040,0,8,6,3,0,64,1468,52,286,70,1,0,23,16,274,0,0,63,0,1,1
NO0041,0,76,15,3,1,69,1741,45,293,91,0,1,50,65,609,1,0,625,0,986,97
NO0042,0,53,2,2,0,60,191,71,191,92,0,0,43,24,529,3,13,545,0.0127,62,62
NO0043,0,88,9,5,1,184,760,153,724,213,0,0,35,70,2885,1,0,3132,0,457,457
NO0044,0,1,19,3,0,61,445,47,331,62,0,1,23,71,433,0,0,394,0,100,100
NO0045,0,194,22,15,3,226,2942,453,1117,264,2,1,34,97,700,1,0,706,0,315,123
NO0046,0,5,0,0,0,12,2580,290,1036,16,2,0,24,49,82,2,2561,106,0.1981,296,242
NO0047,0,54,19,6,8,96,3580,147,869,115,1,0,24,42,419,0,0,371,0,903,190
NO0048,0,8,5,3,4,45,164,27,121,50,2,0,31,58,636,1,0,646,0,53,53
NO0049,0,6,6,3,0,48,140,76,128,53,0,0,28,26,498,1,0,540,0,116,115
NO0050,0,8,0,0,0,91,1796,24,273,94,0,0,28,42,166,1,37,171,0.0585,198,66
NO0051,0,232,29,9,12,151,4495,317,1659,189,1,1,36,53,159,0,0,4,0,122,36
NO0052,0,54,8,2,0,107,636,93,381,126,1,0,26,40,244,2,2,260,0.0038,149,104
NO0053,0,176,13,5,1,176,4505,99,1175,270,1,0,24,45,1424,0,0,1465,0,457,157
NO0054,0,9,2,2,0,9,121,26,44,13,0,0,36,30,628,1,0,634,0,468,4
NO0055,0,53,28,3,3,47,197,104,190,61,0,0,35,68,376,0,0,445,0,54,54
NO0056,0,87,18,9,7,97,2103,280,760,119,1,0,29,80,487,2,1019,465,0.0287,144,25
NO0057,0,25,4,3,2,83,241,104,236,89,0,0,33,39,273,1,0,106,0,160,160
NO0058,0,42,32,6,1,106,3483,101,577,124,0,0,21,57,656,2,0,366,0,320,113
NO0059,0,120,22,14,5,154,1385,226,931,209,0,1,35,54,486,0,0,497,0,1010,0
NO0060,0,26,12,8,1,72,291,194,284,88,0,0,24,64,95,1,0,97,0,19,19
NO0061,0,34,9,4,0,84,1076,123,437,98,0,0,27,57,524,2,0,102,0,491,339
NO0062,0,18,3,3,1,46,146,103,108,60,1,0,31,41,63,0,33,7,0.1618,99,66
NO0063,1,273,62,21,16,184,1452,417,1272,243,5,0,34,72,204,1,12,226,0.0236,699,245
NO0064,0,8,5,5,1,58,120,103,118,68,0,0,30,43,1457,3,0,1500,0,84,84
NO0065,0,2,2,2,0,11,26,23,25,15,0,0,41,30,341,1,0,241,0,59,59
NO0066,0,11,0,0,0,24,50,50,50,31,0,0,23,26,623,1,184,716,0.0335,14,14
NO0067,0,54,17,9,2,218,944,202,932,241,22,2,35,127,1217,0,0,145,0,680,134
NO0068,0,24,3,1,0,212,4241,202,1474,223,0,1,21,117,721,1,0,714,0,862,513
NO0069,0,6,2,2,1,12,233,20,21,19,0,1,42,32,425,0,45,108,0.0434,596,487
NO0070,0,17,4,1,0,25,204,16,102,30,0,0,34,17,776,2,9,232,0.0066,305,264
NO0071,0,20,4,2,3,64,172,41,154,71,0,0,34,48,689,0,0,695,0,693,693
NO0072,0,9,0,0,0,30,61,43,55,38,3,0,46,49,339,0,0,332,0,132,105
NO0073,0,0,0,0,0,10,259,61,108,10,0,1,21,49,844,2,0,874,0,308,269
NO0074,0,12,1,1,0,13,78,77,77,18,4,1,28,51,190,1,0,194,0,56,56
NO0075,0,9,1,1,0,58,2051,75,439,65,0,0,22,48,286,1,5,69,0.0097,131,16
NO0076,0,97,34,8,11,201,1506,169,774,263,3,1,42,88,565,0,0,611,0,671,221
NO0077,0,122,32,13,4,200,1420,177,824,264,4,0,29,51,317,1,0,334,0,736,736
NO0078,0,237,24,9,3,390,5362,266,2600,476,1,0,49,69,1148,1,43,935,0.0114,752,147
NO0079,0,4,1,1,0,76,190,93,167,81,0,0,25,29,586,3,0,628,0,22,22
NO0080,0,10,1,1,1,57,314,122,222,65,0,0,23,25,320,0,0,350,0,99,99
NO0081,0,82,15,2,4,148,4812,391,1403,171,1,2,20,95,356,1,0,263,0,673,259
NO0082,0,2,0,0,0,10,62,12,20,11,0,0,40,30,280,0,10,8,0.0211,201,21
NO0083,0,34,3,2,1,101,1966,120,716,105,0,1,22,27,990,1,63,1066,0.0178,43,43
NO0084,0,4,4,4,0,39,386,84,97,47,0,0,36,47,149,4,0,173,0,14,14
NO0085,0,44,18,13,1,157,1391,105,743,183,0,1,24,74,252,3,17,137,0.0101,1561,502
NO0086,0,135,6,5,2,182,731,81,582,259,0,1,27,64,248,1,0,179,0,333,142
NO0087,0,27,5,2,1,186,3334,103,808,194,0,0,24,97,515,1,0,520,0,556,7
NO0088,0,1,0,0,0,16,32,20,27,17,0,0,21,77,552,0,0,611,0,106,106
NO0089,0,9,1,1,0,119,945,44,370,129,0,0,24,52,414,4,14,458,0.0064,184,184
NO0090,0,10,8,1,0,71,1020,43,124,79,0,0,30,61,385,0,23,246,0.0182,1394,126
NO0091,0,52,1,1,1,54,242,127,236,85,0,0,32,43,1156,0,0,1165,0,543,437
NO0092,0,13,0,0,1,14,69,26,54,17,0,1,41,20,310,1,15,275,0.0152,61,61
NO0093,0,8,0,0,0,46,276,29,150,50,0,0,38,60,827,0,0,237,0,482,142
NO0094,0,7,0,0,3,17,151,42,85,23,0,1,32,44,181,0,34,181,0.0604,76,37
NO0095,0,37,50,8,2,50,312,58,295,68,0,0,28,51,109,1,18,30,0.0603,520,127
